date	coal
1/1/13	82.71
2/1/13	77.59
3/1/13	84.57
4/1/13	78.91
5/1/13	83.27
6/1/13	81.03
7/1/13	84.52
8/1/13	90.20
9/1/13	82.88
10/1/13	80.60
11/1/13	80.58
12/1/13	77.99
1/1/14	82.96
2/1/14	75.29
3/1/14	86.93
4/1/14	82.98
5/1/14	83.79
6/1/14	79.06
7/1/14	84.43
8/1/14	87.33
9/1/14	83.56
10/1/14	85.38
11/1/14	81.68
12/1/14	86.26
1/1/15	86.55
2/1/15	72.21
3/1/15	81.43
4/1/15	74.34
5/1/15	69.85
6/1/15	66.47
7/1/15	74.99
8/1/15	81.01
9/1/15	76.35
10/1/15	75.45
11/1/15	70.72
12/1/15	73.27
1/1/16	73.84
2/1/16	71.79
3/1/16	74.69
4/1/16	70.66
5/1/16	68.32
6/1/16	71.60
7/1/16	73.19
8/1/16	76.47
9/1/16	72.49
10/1/16	75.81
11/1/16	70.66
12/1/16	73.91
