	Total Subsidies
Umatilla 	436662792
Morrow 	249836270
Sherman 	159295714
Wasco 	131856378
Gilliam 	125775642
Malheur 	89911114
Union 	59251322
Yamhill 	48267781
Klamath 	46572653
Wallowa 	45933276
Washington 	43453518
Marion 	39932830
Jefferson 	34534761
Polk 	27527669
Tillamook 	25622775
Baker 	23828205
Harney 	22708381
Clackamas 	18294030
Linn 	16511990
Lake 	12757440
Benton 	11301953
Lane 	10622343
Douglas 	10613099
Crook 	9966735
Hood River 	9771786
Grant 	9291855
Wheeler 	7717034
Jackson 	7587936
Coos 	7493727
Curry 	4313535
Multnomah 	3340261
Josephine 	2566329
Columbia 	2526660
Deschutes 	2399280
Clatsop 	1346127
Lincoln 	554918
