Precinct	Total Votes	Hillary Clinton Votes	Hillary Clinton Percent	Bernie Sanders Votes	Bernie Sanders Percent	Write-in	Write-in	Over Voted Ballots	Under Votes
2701	292	221	75.68%	71	24.32%	0	0.00%	0	3
2702	330	213	64.55%	116	35.15%	1	0.30%	0	2
3101	507	253	49.90%	251	49.51%	3	0.59%	0	4
3102	713	328	46.00%	379	53.16%	6	0.84%	0	5
3103	210	98	46.67%	109	51.90%	3	1.43%	0	6
3301	4524	2400	53.05%	2116	46.77%	8	0.18%	0	26
3303	1211	760	62.76%	444	36.66%	7	0.58%	0	12
3304	280	144	51.43%	135	48.21%	1	0.36%	0	1
3501	394	184	46.70%	206	52.28%	4	1.02%	0	2
3502	2208	1056	47.83%	1142	51.72%	10	0.45%	0	32
3602	2609	1113	42.66%	1485	56.92%	11	0.42%	0	22
3603	3362	1439	42.80%	1910	56.81%	13	0.39%	0	24
3604	54	33	61.11%	21	38.89%	0	0.00%	0	1
3605	1089	646	59.32%	437	40.13%	6	0.55%	0	14
3606	928	419	45.15%	508	54.74%	1	0.11%	0	4
3607	2881	1551	53.84%	1322	45.89%	8	0.28%	1	28
3608	1885	1039	55.12%	841	44.62%	5	0.27%	0	15
3609	242	167	69.01%	72	29.75%	3	1.24%	0	3
3610	1752	924	52.74%	818	46.69%	10	0.57%	0	18
3611	2599	1264	48.63%	1324	50.94%	11	0.42%	0	29
3612	2526	1058	41.88%	1460	57.80%	8	0.32%	0	21
3801	37	21	56.76%	16	43.24%	0	0.00%	0	0
3802	4337	2124	48.97%	2194	50.59%	19	0.44%	0	43
3803	2917	1265	43.37%	1644	56.36%	8	0.27%	1	19
3804	573	290	50.61%	279	48.69%	4	0.70%	0	6
3805	396	203	51.26%	191	48.23%	2	0.51%	0	2
3806	760	421	55.39%	329	43.29%	10	1.32%	0	2
3807	360	227	63.06%	130	36.11%	3	0.83%	0	3
3808	79	26	32.91%	53	67.09%	0	0.00%	0	1
4101	4548	1882	41.38%	2653	58.33%	13	0.29%	1	34
4102	2233	710	31.80%	1513	67.76%	10	0.45%	1	24
4103	1950	1089	55.85%	851	43.64%	10	0.51%	0	18
4203	4767	1134	23.79%	3623	76.00%	10	0.21%	1	26
4204	4727	1614	34.14%	3106	65.71%	7	0.15%	0	41
4205	2392	869	36.33%	1517	63.42%	6	0.25%	0	13
4207	2982	894	29.98%	2080	69.75%	8	0.27%	0	20
4208	1679	551	32.82%	1125	67.00%	3	0.18%	1	14
4209	3775	1083	28.69%	2677	70.91%	15	0.40%	0	30
4210	5141	1580	30.73%	3524	68.55%	37	0.72%	1	35
4301	4972	1727	34.73%	3234	65.04%	11	0.22%	0	38
4302	4858	1701	35.01%	3143	64.70%	14	0.29%	0	46
4304	4186	1897	45.32%	2283	54.54%	6	0.14%	0	41
4305	4803	1747	36.37%	3041	63.31%	15	0.31%	0	41
4306	1055	428	40.57%	626	59.34%	1	0.09%	0	11
4310	4417	1808	40.93%	2594	58.73%	15	0.34%	1	28
4401	4077	1271	31.17%	2772	67.99%	34	0.83%	0	30
4402	4182	1538	36.78%	2613	62.48%	31	0.74%	0	30
4403	3953	1326	33.54%	2608	65.98%	19	0.48%	2	44
4404	4296	1541	35.87%	2722	63.36%	33	0.77%	1	47
4409	753	250	33.20%	493	65.47%	10	1.33%	0	5
4501	5681	3045	53.60%	2610	45.94%	26	0.46%	0	56
4502	2236	816	36.49%	1405	62.84%	15	0.67%	0	24
4503	2100	1015	48.33%	1079	51.38%	6	0.29%	0	16
4505	3820	1537	40.24%	2267	59.35%	16	0.42%	1	32
4506	1281	421	32.86%	846	66.04%	14	1.09%	1	19
4508	1899	599	31.54%	1284	67.61%	16	0.84%	0	17
4509	815	335	41.10%	471	57.79%	9	1.10%	0	14
4510	768	364	47.40%	395	51.43%	9	1.17%	0	12
4511	776	265	34.15%	499	64.30%	12	1.55%	0	13
4512	244	112	45.90%	126	51.64%	6	2.46%	0	1
4601	5285	2085	39.45%	3181	60.19%	19	0.36%	0	43
4602	2059	1151	55.90%	901	43.76%	7	0.34%	0	18
4604	2136	612	28.65%	1510	70.69%	14	0.66%	1	18
4605	2421	794	32.80%	1615	66.71%	12	0.50%	0	27
4606	4742	1341	28.28%	3370	71.07%	31	0.65%	1	46
4607	1153	523	45.36%	612	53.08%	18	1.56%	0	17
4608	525	154	29.33%	367	69.90%	4	0.76%	0	3
4701	800	446	55.75%	335	41.88%	19	2.38%	0	20
4702	272	116	42.65%	148	54.41%	8	2.94%	0	5
4703	732	329	44.95%	391	53.42%	12	1.64%	0	22
4704	1256	638	50.80%	582	46.34%	36	2.87%	0	34
4705	1769	652	36.86%	1091	61.67%	26	1.47%	0	34
4706	1005	405	40.30%	563	56.02%	37	3.68%	0	25
4707	593	223	37.61%	358	60.37%	12	2.02%	0	11
4708	1150	461	40.09%	669	58.17%	20	1.74%	1	23
4709	608	243	39.97%	357	58.72%	8	1.32%	0	20
4710	951	327	34.38%	602	63.30%	22	2.31%	0	21
4801	424	156	36.79%	262	61.79%	6	1.42%	0	6
4802	15	3	20.00%	12	80.00%	0	0.00%	0	0
4803	2331	658	28.23%	1647	70.66%	26	1.12%	0	29
4804	472	151	31.99%	316	66.95%	5	1.06%	0	7
4805	258	78	30.23%	171	66.28%	9	3.49%	0	5
4806	455	187	41.10%	260	57.14%	8	1.76%	0	9
4807	814	311	38.21%	495	60.81%	8	0.98%	0	8
4901	12	4	33.33%	8	66.67%	0	0.00%	0	0
4902	7	4	57.14%	3	42.86%	0	0.00%	0	0
4903	1181	591	50.04%	574	48.60%	16	1.35%	0	35
4904	1933	829	42.89%	1057	54.68%	47	2.43%	0	42
4905	56	24	42.86%	31	55.36%	1	1.79%	0	1
4906	316	130	41.14%	176	55.70%	10	3.16%	0	5
4907	95	60	63.16%	34	35.79%	1	1.05%	0	1
4908	508	228	44.88%	267	52.56%	13	2.56%	0	9
4909	1140	508	44.56%	605	53.07%	27	2.37%	0	19
4910	893	424	47.48%	455	50.95%	14	1.57%	0	15
4911	980	412	42.04%	550	56.12%	18	1.84%	0	21
5001	1006	402	39.96%	582	57.85%	22	2.19%	0	13
5002	1565	658	42.04%	887	56.68%	20	1.28%	0	37
5003	293	148	50.51%	141	48.12%	4	1.37%	0	6
5004	1803	791	43.87%	988	54.80%	24	1.33%	0	29
5006	817	376	46.02%	423	51.77%	18	2.20%	0	16
5007	942	393	41.72%	518	54.99%	31	3.29%	1	17
5008	941	494	52.50%	432	45.91%	15	1.59%	0	27
5009	258	114	44.19%	142	55.04%	2	0.78%	0	10
5101	221	87	39.37%	126	57.01%	8	3.62%	0	1
5102	1251	465	37.17%	765	61.15%	21	1.68%	0	37
5103	640	271	42.34%	361	56.41%	8	1.25%	0	17
5104	1062	462	43.50%	564	53.11%	36	3.39%	0	32
5105	83	36	43.37%	43	51.81%	4	4.82%	0	6
5106	448	197	43.97%	240	53.57%	11	2.46%	0	13
5107	164	92	56.10%	69	42.07%	3	1.83%	0	4
5202	800	301	37.62%	485	60.62%	14	1.75%	0	37
5203	398	198	49.75%	193	48.49%	7	1.76%	0	10
5204	711	327	45.99%	363	51.05%	21	2.95%	0	28
