Year	Total Registered Voters	Total Votes Cast	Turnout
1960	797036	545872	0.6850
1962	854102	459940	0.5390
1964	853325	603267	0.7070
1966	924341	516777	0.5590
1968	996662	725431	0.7279
1970	1018017	568551	0.5580
1972	1158711	734551	0.6340
1974	1248596	593172	0.4750
1976	1310248	798986	0.6100
1978	1390005	603478	0.4330
1980	1376573	780667	0.5670
1982	1437693	669529	0.4656
1984	1457067	767565	0.5270
1986	1458300	693821	0.4760
1988	1366294	753112	0.5510
1990	1437462	660990	0.4598
1992	1543315	758459	0.4914
1994	1730562	661717	0.3824
1996	1851499	698990	0.3775
1998	1906677	665340	0.3490
2000	1808080	927351	0.5129
2002	1839070	858524	0.4668
2004	1862919	864833	0.4642
2006	1965939	758393	0.3858
2008	2008957	1170526	0.5826
2010	2033951	846515	0.4162
2012	2021263	787847	0.3898
2014	2113430	758604	0.3590
2016	2293955	1056332	0.4605
